lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Rijeka",68.74 m2,305.000 €,77.38 km,04.09.2025
"Primorsko-goranska, Opatija",121.35 m2,725.000 €,79.51 km,13.08.2025
"Moravče, Moravče",300 m2,350.000 €,22.46 km,18.06.2025
"Ljubljana Šiška, Spodnja Šiška",187.25 m2,548.200 €,2.28 km,08.04.2025
"Vrhnika, Sinja Gorica",111.3 m2,298.000 €,15.67 km,22.08.2024
"Mengeš, Mengeš",83 m2,Cena po dogovoru,14.83 km,06.09.2025
"Ravne na Koroškem, Ravne na Koroškem",66.8 m2,139.700 €,67.24 km,06.09.2025
"Kamnik, Črna pri Kamniku",60 m2,Cena po dogovoru,27.00 km,06.09.2025
"Izola, Jagodje",35 m2,600 €,87.61 km,06.09.2025
"Velenje, Velenje",30 m2,Cena po dogovoru,59.75 km,06.09.2025
"Šmartno pri Litiji, Gozd-reka",48 m2,Cena po dogovoru,20.97 km,06.09.2025
"Novo mesto, Stopiče",85 m2,590 €,63.66 km,06.09.2025
"Idrija, Idrija",200 m2,290 €,35.55 km,06.09.2025
"Istrska, Umag",114.5 m2,948.490 €,98.78 km,06.09.2025
"Istrska, Pazin",150 m2,350.000 €,98.65 km,06.09.2025
"Istrska, Pazin",159 m2,165.000 €,98.58 km,06.09.2025
"Istrska, Umag",115.97 m2,449.460 €,98.56 km,06.09.2025
"Primorsko-goranska, Rijeka",68 m2,370.000 €,77.64 km,06.09.2025
"Primorsko-goranska, Crikvenica",19 m2,85.000 €,96.12 km,06.09.2025
"Primorsko-goranska, Crikvenica",19 m2,85.000 €,96.16 km,06.09.2025
"Ljubljana Šiška, Vižmarje",122 m2,1.400 €,6.44 km,06.09.2025
"Ljubljana Vič Rudnik, Rožna dolina",30 m2,650 €,417 km,06.09.2025
"Črnomelj, Črnomelj",74.2 m2,169.990 €,76.01 km,06.09.2025
"Cerklje na Gorenjskem, Cerklje na Gorenjskem",97.3 m2,361.000 €,24.88 km,06.09.2025
"Istrska, Umag",121.91 m2,562.232 €,98.62 km,06.09.2025
"Istrska, Buje",107 m2,325.000 €,92.91 km,06.09.2025
"Primorsko-goranska, Crikvenica",71.74 m2,278.000 €,96.09 km,06.09.2025
"Primorsko-goranska, Crikvenica",125.39 m2,625.000 €,96.40 km,06.09.2025
"Primorsko-goranska, Crikvenica",121.15 m2,625.000 €,96.23 km,06.09.2025
"Primorsko-goranska, Crikvenica",122 m2,400.000 €,96.30 km,06.09.2025
"Zagorje ob Savi, Zagorje ob Savi",33 m2,400 €,40.66 km,05.09.2025
"Celje, Medlog",85 m2,750 €,62.35 km,05.09.2025
"Piran, Lucija",38 m2,400 €,90.99 km,05.09.2025
"Ljubljana Moste Polje, Nove Fužine",45 m2,650 €,5.87 km,05.09.2025
"Ljubljana Šiška, Brod",80 m2,1.050 €,8.23 km,05.09.2025
"Celje, Nova vas",63 m2,189.000 €,63.37 km,05.09.2025
"Ljubljana Šiška, Draveljska gmajna",33 m2,750 €,2.98 km,05.09.2025
"Dolenjske Toplice, Dolenjske Toplice",90 m2,280 €,54.61 km,05.09.2025
"Šentjur, Šentjur",80 m2,200 €,72.34 km,05.09.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",42 m2,850 €,1.90 km,05.09.2025
"Šentjur, Šentjur",80 m2,650 €,71.91 km,05.09.2025
"Ljubljana Center, Trnovo",96 m2,600 €,1.42 km,05.09.2025
"Majšperk, Lešje",75 m2,750 €,99.79 km,05.09.2025
"Istrska, Umag",67 m2,289.000 €,98.79 km,05.09.2025
"Istrska, Umag",82 m2,356.000 €,98.76 km,05.09.2025
"Istrska, Umag",55 m2,284.255 €,98.53 km,05.09.2025
"Istrska, Umag",95 m2,Cena po dogovoru,98.76 km,05.09.2025
"Istrska, Umag",123 m2,343.000 €,98.61 km,05.09.2025
"Celje, Nova vas",27 m2,450 €,63.71 km,05.09.2025
